id,ma_cam_bien,luu_luong_khai_thac
cab2929c-9d11-4f42-9af3-c14b1da1909c,CB-KTN-85,288
dc67de35-ec0d-47a1-83d3-b5487b31d0c1,CB-KTN-86,
2a25831c-3fb2-43cb-b45b-5dfa539e362f,CB-KTN-87,288
b5d4a975-b17c-4c98-a51c-e3c563b74704,CB-KTN-88,
05ea8907-0014-4743-a383-bd77353b0197,CB-KTN-89,480
6c24883a-8e44-4704-8862-e1e7bf3f5b50,CB-KTN-90,
450b6126-961f-46d4-8a82-138eef057e05,CB-KTN-91,
670ef2b2-5fc5-4bec-a48b-ac3cdc178312,CB-KTN-92,288
bf0a9e6c-3d72-4f7a-801c-1dfff0ce94fc,CB-KTN-93,288
d35399d8-d6c4-46cd-8549-55848fe9e12a,CB-KTN-94,
c051ce22-e370-40c6-97bb-e6dad85d6dca,CB-KTN-95,
e7b4688a-82e9-4e56-99e7-6d858a4ae486,CB-KTN-96,
d2cdcdf8-4312-4a88-9107-16539d64c3ed,CB-KTN-97,
87fbb070-381d-42ae-ba2a-3389cd7cb2c9,CB-KTN-98,144
d1910e99-0757-4c04-9f83-d5b615e2455f,CB-KTN-99,288
aaad1546-0100-487c-b32e-f59dfeff9525,CB-KTN-100,288
94f142b2-60f1-483c-a7d1-913148ca3432,CB-KTN-101,
8c069d1f-99ce-4190-b915-748bffd92701,CB-KTN-102,
d7d2b6d0-bdf6-476a-87d5-412bcff9fd13,CB-KTN-103,
1233bc04-7e75-435e-ba24-5c4c2a7ec423,CB-KTN-104,150
b193afee-8217-44c2-a69e-847a5d934647,CB-KTN-105,150
73b51c00-e01d-4dcb-9976-fcc0ef2d8cb8,CB-KTN-106,150
f1fd041e-e228-422e-aa49-6057f38a7390,CB-KTN-107,
2d34b88f-2b74-4028-8fdc-cecc37a168f5,CB-KTN-108,
9ddfd9aa-9d1b-4b21-9957-881a46cd68a6,CB-KTN-109,
9bfb8b53-e775-4eca-84b3-c7457dd8c36b,CB-KTN-110,
adf3ba8f-a206-457a-a14a-dbaeba274048,CB-KTN-111,
74ff7e60-fe52-4dce-8505-fa3b22519bc8,CB-KTN-112,
bdb00f1d-9b0f-45c7-8015-ac92a62f1f9e,CB-KTN-113,
14c31bf9-5c66-44e4-853f-020831d7b9ad,CB-KTN-114,360
1a6f8ccb-6f6a-4a90-bb97-a6d4a3b188cd,CB-KTN-115,
b4c72609-20ae-4ac6-a02f-98a4b892cc7f,CB-KTN-116,250
926c48d2-6798-411a-9be4-0f2b5b159917,CB-KTN-117,100
cb3df972-13c6-4a84-a67c-286c45a36ac6,CB-KTN-118,
9d2edf9d-5637-4912-b0f8-47c404f9dedf,CB-KTN-119,480
bc43ac5d-bbbf-46c9-92ea-3cd5f5264604,CB-KTN-120,480
3d5f097f-c913-4140-b34a-a6fd67c4c422,CB-KTN-121,
d16d5091-7884-449f-9f62-0e161c2f7f98,CB-KTN-122,
0bfed8e4-38b1-417b-b427-71f2944624a8,CB-KTN-123,
aeea80cc-8694-484e-887c-abd30f53d37b,CB-KTN-124,
afecf226-c301-4357-a2e4-59ccb8435cfa,CB-KTN-125,120
8f4c143f-e9fc-489c-9755-9a0aa7e0bbba,CB-KTN-126,
5ec5ff13-014e-4a4f-bf80-ccaecb02adeb,CB-KTN-127,288
ef51066b-03c8-419c-972a-ba51e4d29d44,CB-KTN-128,200
3c58e325-1fca-41b6-a20e-2a6e41353ebe,CB-KTN-129,200
0ab1d1f1-3081-486b-a5ea-2caedcbf7044,CB-KTN-130,
866eb150-75d8-44d6-8979-19cbd30675ae,CB-KTN-131,
e940f921-a187-4725-83e1-0792b626b29c,CB-KTN-132,480
143f5185-89de-437f-8377-dd064430b339,CB-KTN-133,288
8af5a456-7549-4aa4-97be-c2a468ae456a,CB-KTN-134,
22c01eb0-b87c-440b-a72c-44071f4feb89,CB-KTN-135,
7f074835-1904-49dd-809d-003506d4e908,CB-KTN-136,
170c606c-cf6c-4ace-8108-a5757ca15d26,CB-KTN-137,
1cfe8a09-7eba-4852-87f9-ee5c58edc9bb,CB-KTN-138,
d7dc0449-367d-4523-92c8-1524573077d8,CB-KTN-139,
a214b3f7-def2-4e41-801f-a4b825200113,CB-KTN-140,100
67e673ae-2953-4595-8551-a64dcee75351,CB-KTN-141,
625d4301-99ee-498d-8ded-fd7e611f0c9f,CB-KTN-142,
4fdff330-033d-40a3-85fe-f75ac668ce77,CB-KTN-143,
210e7573-14ed-4b12-ab53-a57b68f1ac79,CB-KTN-144,
1c368b63-d0b1-4a9c-bf38-ff6434cdcac2,CB-KTN-145,
6eb0db2d-e5b9-4508-be38-f6610d86ec70,CB-KTN-146,
0161b011-e56f-4ff8-a9b1-7d5cbd1f9088,CB-KTN-147,
bf28859f-9d7f-4bb7-8afc-8307e4de7aae,CB-KTN-148,
a74590a6-b2f8-431b-b2ae-00b3a3753a1b,CB-KTN-149,800
1a8aeddf-e9df-4ca2-a763-a38e2c7ce10b,CB-KTN-150,800
234753f0-f4eb-46f1-a001-094d2decef68,CB-KTN-151,
81237cfb-fff6-4c48-91cb-594cfa1e52d6,CB-KTN-152,
c1e2fd94-8bae-4734-898f-2eeb861815ab,CB-KTN-153,
b9e08b6a-4ce9-490e-9bda-40500bd3e00f,CB-KTN-154,
8c9ba421-5570-440b-8522-d6cb01740969,CB-KTN-155,
9fe6121b-5b17-4c2e-8339-e96a6c94126a,CB-KTN-156,480
8e34d4b2-8c74-4dbb-a925-8c61fd4c9f31,CB-KTN-157,
226e25f7-0c1d-4b14-a1f2-4b4768c21038,CB-KTN-158,
28e51150-aafc-417f-bce9-256893afd5de,CB-KTN-159,
fbcb94bd-0670-489f-a87d-ab02e2c1839d,CB-KTN-160,
6deb5e0d-a5e1-4035-a84f-770b779d8f6a,CB-KTN-161,600
a4041882-8836-45f5-a695-a92f46c6a90f,CB-KTN-162,
440a5b42-b3a2-4511-ad62-3de4b3d2ee47,CB-KTN-163,
f096e48e-f594-4e9f-aa80-63dcf883c371,CB-KTN-164,
b3c0fd4b-c840-4c8d-b749-de6e73ce2eff,CB-KTN-165,
7a3296d2-6c64-44e6-a913-7d2e594fe6e1,CB-KTN-166,100
afde4b3a-c1ca-49fc-b6cb-3966eb3500e1,CB-KTN-167,100
362ef185-d9dd-4c19-9039-9e82c52f33d4,CB-KTN-168,100
8eb05ea2-0e8c-4020-830a-c1e332edc5f3,CB-KTN-169,100
8b941400-1df6-4da8-8ea3-c06ee9fa90aa,CB-KTN-170,
f5d215de-e647-4577-8848-a91bdb8ae3b5,CB-KTN-171,
747f2eab-5830-4bc7-a097-d5e68c4f2467,CB-KTN-172,
6406b34b-e2aa-46e1-a08d-2f571137bcab,CB-KTN-173,
a045c8fa-6475-436a-b4e8-64b42482adad,CB-KTN-174,
43a7c07b-abe5-436f-92be-de2ae76b28bf,CB-KTN-175,150
358ee954-cb16-47ee-a16a-776b0719f3bd,CB-KTN-176,
87c0b34e-de73-48c2-be55-b5062ccc3896,CB-KTN-177,1040
41299867-dec1-4af2-bf9d-e5405143d32e,CB-KTN-178,1040
232777f7-513a-4600-a22f-10db2fe471ee,CB-KTN-179,1040
3f209d20-5dcd-4e56-b946-f5e7f02cd62f,CB-KTN-180,
1a9cc3fb-f1fd-4fb5-972a-f68bf74308ab,CB-KTN-181,
ad2f66e7-6305-4284-9fc7-9807656fd668,CB-KTN-182,
db11e4ea-1293-4985-a74f-2e83609de2f5,CB-KTN-183,
1521be80-8284-491a-bee9-5f8ccccff21c,CB-KTN-184,
bab81b11-0d5f-4c03-9047-3be48a6e2cf2,CB-KTN-185,500
6ff7a2c3-1d1e-40c4-b289-c4fbbd17bf84,CB-KTN-186,
75efe562-95f5-4d3c-a705-e03d12038e28,CB-KTN-187,
b4f2b36f-ae83-4103-aaaa-969f0a0404d4,CB-KTN-188,
ae148cdd-3bf9-4aa2-97f3-38b44d0c29d7,CB-KTN-189,240
b3edaac6-9c17-40d9-8045-5b7278814070,CB-KTN-190,480
1a993027-e07a-42ac-bcb4-0cda62a3c33d,CB-KTN-191,480
774b23da-1efd-4ac6-a2ca-67f96c7ea291,CB-KTN-192,288
66e71394-a492-4852-bbf7-a9e1b1d10293,CB-KTN-193,
83a0c068-fc7f-48a3-be29-7fef66cb1388,CB-KTN-194,
eb17f919-a257-4c01-8ce9-05e76ec45b16,CB-KTN-195,480
da724861-0141-4ebc-83f7-cc1734a135ff,CB-KTN-196,480
02f7e0f6-75a0-45a8-80e2-86ed6dd27759,CB-KTN-197,288
4e0126b4-26f6-42a6-a53f-250f111043b7,CB-KTN-198,1200
2d6db3a8-7d71-43ee-9089-c167dccfd69e,CB-KTN-199,288
3154dc5c-9c62-406e-9344-8ad528dba492,CB-KTN-200,288
c470c16a-25f4-467c-9c62-147da4965c5b,CB-KTN-201,
40c17cf9-1b56-4cd7-8e58-79258bcde4a1,CB-KTN-202,720
